DATE,TOTAL_POINTS
2020-10-18,50001138
2020-10-19,58343509
2020-10-20,65615991
2020-10-21,67023106
2020-10-22,70745425
2020-10-23,86550249
2020-10-24,87501102
2020-10-25,60637294
2020-10-26,74393942
2020-10-27,63252426
2020-10-28,265193464
2020-10-29,208876283
2020-10-30,151225152
2020-10-31,155637906
2020-11-01,131822544
2020-11-02,165290830
2020-11-03,162135994
2020-11-04,76175590
2020-11-05,60963476
2020-11-06,71038434
2020-11-07,75785694
2020-11-08,57658386
2020-11-09,65316668
2020-11-10,65790330
2020-11-11,899856318
2020-11-12,502967837
2020-11-13,438673640
2020-11-14,509942004
2020-11-15,304927258
2020-11-16,374264154
2020-11-17,301653476
2020-11-18,86631965
2020-11-19,97936585
2020-11-20,137997048
2020-11-21,136458989
2020-11-22,93059209
2020-11-23,126165538
2020-11-24,115117532
2020-11-25,127050436
2020-11-26,134920872
2020-11-27,194182714
2020-11-28,162643928
2020-11-29,113122113
2020-11-30,149527316
2020-12-01,149682534
2020-12-02,161101028
2020-12-03,174137268
2020-12-04,187683205
2020-12-05,191652268
2020-12-06,134528714
2020-12-07,189421906
2020-12-08,194898826
2020-12-09,220751895
2020-12-10,262724988
2020-12-11,322021822
2020-12-12,317899800
2020-12-13,222226568
2020-12-14,300686554
2020-12-15,313463942
2020-12-16,359254617
2020-12-17,464944564
2020-12-18,573041147
2020-12-19,649764424
2020-12-20,446243793
2020-12-21,1176271304
2020-12-22,1168729637
2020-12-23,857487618
2020-12-24,341433872
2020-12-25,11340200
2020-12-26,87652805
2020-12-27,121830240
2020-12-28,162899657
2020-12-29,187214866
2020-12-30,228592822
2020-12-31,182980685
2021-01-01,75612014
2021-01-02,155516280
2021-01-03,96505274
2021-01-04,128073930
2021-01-05,113638690
2021-01-06,106013535
2021-01-07,109273310
2021-01-08,114176788
2021-01-09,125286812
2021-01-10,78180436
2021-01-11,86194989
2021-01-12,80239077
2021-01-13,80634586
2021-01-14,80500726
2021-01-15,96210292
2021-01-16,101321649
2021-01-17,65759422
2021-01-18,78659865
2021-01-19,72926744
2021-01-20,74260110
2021-01-21,80790761
2021-01-22,89750570
2021-01-23,98019178
2021-01-24,60955996
2021-01-25,147868779
2021-01-26,99490168
2021-01-27,89612855
2021-01-28,87363706
2021-01-29,93348970
2021-01-30,103453389
2021-01-31,68300614
2021-02-01,120905950
2021-02-02,75916646
2021-02-03,97610378
2021-02-04,88756511
2021-02-05,96026500
2021-02-06,105222024
2021-02-07,68025772
2021-02-08,102288128
2021-02-09,75784696
2021-02-10,88604765
2021-02-11,94084878
2021-02-12,108167501
2021-02-13,115258930
2021-02-14,76873618
2021-02-15,100194900
2021-02-16,83434324
2021-02-17,84955479
2021-02-18,91361404
2021-02-19,100303965
2021-02-20,107466079
2021-02-21,71194324
2021-02-22,91649743
2021-02-23,80208116
2021-02-24,87250626
2021-02-25,88841265
2021-02-26,94878318
2021-02-27,99791938
2021-02-28,70890354
2021-03-01,91022322
2021-03-02,80907269
2021-03-03,92589558
2021-03-04,90229117
2021-03-05,100970538
